city,name,nameEn,nameLocal,theme,durationMin,priceJpy,summary,why,caution,booking,busy,closed,hours,tags,address,lat,lon,wikidata,popularity
nippori,유야케 단단,Yuyake Dandan,夕やけだんだん,landmark,15,0,야나카 긴자로 내려가는 계단. 노을 사진 자리,닛포리역에서 야나카 긴자 상점가로 내려가는 계단입니다. 해 질 때 계단 위에서 상점가 쪽으로 찍는 사진이 유명하고 고양이가 자주 앉아 있습니다.,,,해 질 무렵,,,street;재방문,,35.7280,139.7665,,4
nippori,네즈 가마타케,Nezu Kamatake,根津 釜竹,food,60,1500,돌창고를 옮겨 지은 우동집. 낮술 안주,옛 돌창고를 옮겨 지은 집에서 가마아게 우동을 냅니다. 출汁가 진한 안주가 있어 점심에 사케 한 잔을 곁들이는 사람이 많습니다.,,,주말 점심 줄,,,noodle;local;재방문,東京都文京区根津2-14-18,35.71805,139.76706,,3
nippori,니혼슈 바 요로코비,Nihonshu Bar Yorokobi,日本酒バー 慶,nightlife,75,3500,매주 바뀌는 사케 30종. 마무리는 카레 우동,가마타케의 자매 가게로 매주 바뀌는 사케 30종을 잔으로 냅니다. 출汁 안주와 마무리 카레 우동이 정해진 순서입니다.,,,,,,bar;izakaya;재방문,東京都台東区谷中1-2-14,35.71898,139.76692,,2
nippori,우에노 사쿠라기 아타리,Ueno Sakuragi Atari,上野桜木あたり,shopping,40,0,1938년 목조 주택 세 채를 고친 빵집·맥줏집·소금 가게,"1938년에 지은 목조 주택 세 채를 고쳐 빵집, 맥주홀, 소금·올리브 가게를 넣었습니다. 야나카 영원과 아사쿠라 조소관 사이에 있어 쉬어 가기 좋습니다.",,,,,,select;craft;재방문,,35.72237,139.77103,,3
nippori,야나카 비어홀,Yanaka Beer Hall,谷中ビアホール,nightlife,60,2500,옛 집에서 마시는 직접 빚은 맥주,우에노 사쿠라기 아타리 안의 맥줏집으로 직접 빚은 맥주를 냅니다. 낮에도 열어 야나카 산책 중 한 잔에 좋습니다.,,,,,,bar;craft;재방문,,35.72226,139.77092,,2
nippori,카야바 커피,Kayaba Coffee,カヤバ珈琲,food,45,1200,1938년 문 연 찻집. 계란 샌드,다이쇼 시대 건물에서 1938년부터 이어 온 찻집입니다. 계란 샌드위치와 루시안(커피+코코아)이 대표이고 아침 일찍 엽니다.,,,주말 오전 줄,,,cafe;local;재방문,,35.72115,139.77077,,4
nippori,기쿠주도 이세타쓰,Kikujudo Isetatsu,菊寿堂いせ辰 谷中本店,shopping,20,,1864년부터 에도 지요가미. 종이 선물,에도 시대 무늬 종이 지요가미를 1864년부터 찍어 온 가게입니다. 종이 상자·부채·엽서가 가볍고 값이 싸서 선물로 좋습니다.,,,,,,craft;재방문,,35.72426,139.76785,,3
nippori,노이케,Noike,乃池,food,60,3000,1965년부터 아나고 초밥,붕장어(아나고)를 부드럽게 졸여 얹은 초밥이 대표인 야나카의 초밥집입니다. 점심에도 아나고 초밥 세트를 냅니다.,,,,화요일,,sushi;local;재방문,,35.72461,139.76457,,3
nippori,야나카 영원,Yanaka Cemetery,谷中霊園,nature,40,0,벚나무 길과 도쿠가와 요시노부의 묘,"도쿄에서 벚꽃 길로 손꼽히는 공동묘지입니다. 마지막 쇼군 도쿠가와 요시노부의 묘가 있고, 사쿠라도리를 따라 걸으면 닛포리에서 우에노까지 이어집니다.",,,,,,벚꽃;재방문,,35.72528,139.77056,Q864387,3
nippori,구 야스다 구스오 저택,Former Yasuda Kusuo Residence,旧安田楠雄邸庭園,history,40,500,다이쇼 시대 저택과 정원. 수·토요일만 연다,센다기에 남은 다이쇼 시대 목조 저택과 정원입니다. 수요일과 토요일 오후에만 열어 자원봉사자가 안내합니다.,,,,수·토요일만 개관(10:30~15:00),,재방문,東京都文京区千駄木5-20-18,35.72705,139.76057,,2
